3,  55, 52, 53, 19, 22, 15, 6,  33, 56, 27, 20, 35, 4, 16, 21, 5, 51, 17, 7, 2, 8, 18, 14, 23, 9, 13, 50, 36, 11, 12, 46, 0, 1, 37, 31, 39, 42, 38, 29, 49, 10, 48, 32, 44, 43, 45, 28, 47, 25, 34, 41, 54, 30, 24, 40, 26, 54, 22, 55, 3, 6, 53, 56, 23, 52, 19, 16, 15, 35, 4, 37, 51, 20, 27, 5, 33, 21, 9, 7, 14, 2, 17, 18, 8, 49, 29, 13, 36, 12, 39, 1, 11, 42, 10, 0, 31, 50, 46, 48, 38, 44, 34, 25, 45, 32, 43, 41, 47, 30, 28, 40, 24, 26, 
55, 53, 52, 31, 3,  15, 14, 22, 54, 6, 35, 20, 16, 4, 7, 56, 5, 23, 51, 21, 9, 18, 17, 19, 27, 2, 13, 8, 49, 50, 10, 36, 12, 0, 46, 1, 11, 34, 29, 42, 37, 39, 32, 48, 30, 38, 47, 28, 44, 45, 43, 25, 41, 33, 24, 40, 26, 
54, 55, 53, 6,  3,  31, 52, 15, 4, 19, 22, 35, 7, 56, 14, 8, 16, 20, 21, 23, 27, 18, 5, 51, 36, 13, 17, 2, 9, 49, 10, 50, 1, 12, 11, 0, 37, 29, 30, 43, 46, 39, 48, 38, 32, 42, 44, 47, 34, 45, 25, 28, 24, 41, 40, 33, 26, 
31, 3,  53, 15, 55, 52, 6,  23, 22, 4, 56, 35, 33, 8, 16, 7, 5, 20, 51, 27, 21, 14, 9, 17, 18, 13, 19, 2, 49, 10, 36, 12, 50, 1, 46, 39, 0, 37, 11, 32, 38, 48, 42, 29, 47, 44, 43, 34, 54, 45, 28, 41, 25, 30, 24, 40, 26, 
3,  55, 52, 15, 19, 56, 6,  23, 22, 53, 4, 16, 35, 33, 27, 51, 20, 7, 5, 18, 13, 17, 9, 30, 21, 36, 14, 2, 8, 37, 49, 50, 46, 0, 10, 12, 1, 39, 29, 11, 42, 48, 38, 31, 34, 32, 44, 25, 54, 43, 45, 41, 28, 47, 24, 40, 26, 
3, 31, 55, 52, 15, 53, 22, 6, 4, 5, 56, 35, 51, 20, 16, 7, 14, 17, 21, 18, 19, 27, 13, 9, 8, 2, 23, 46, 49, 12, 0, 42, 50, 29, 10, 1, 11, 39, 38, 37, 32, 36, 48, 54, 44, 47, 43, 45, 25, 34, 28, 41, 24, 30, 40, 33, 26, 
54, 55, 3, 14, 22, 23, 15, 51, 52, 6, 53, 4, 35, 56, 16, 27, 20, 39, 31, 17, 7, 21, 5, 8, 19, 13, 18, 10, 9, 2, 36, 12, 50, 1, 0, 11, 37, 49, 33, 29, 32, 48, 42, 38, 46, 44, 28, 43, 45, 47, 25, 41, 24, 34, 30, 40, 26, 
22, 55, 52, 53, 3, 15, 23, 6, 56, 4, 14, 39, 19, 35, 20, 5, 27, 21, 51, 8, 7, 17, 13, 16, 18, 9, 2, 33, 36, 0, 50, 10, 12, 29, 49, 1, 37, 11, 42, 31, 38, 46, 54, 48, 32, 25, 44, 43, 41, 47, 34, 45, 30, 28, 24, 40, 26, 
54, 19, 3, 55, 15, 23, 53, 6, 22, 52, 35, 4, 20, 27, 16, 5, 21, 56, 51, 18, 17, 7, 29, 36, 9, 2, 13, 14, 49, 8, 50, 10, 11, 39, 1, 12, 32, 37, 42, 0, 46, 48, 38, 44, 43, 28, 45, 47, 25, 34, 31, 33, 41, 24, 40, 30, 26, 
3, 52, 55, 6, 53, 33, 22, 19, 15, 4, 21, 51, 16, 7, 56, 20, 18, 27, 5, 14, 23, 2, 9, 36, 17, 8, 13, 49, 35, 50, 39, 0, 46, 12, 1, 10, 37, 29, 11, 32, 38, 42, 47, 48, 45, 44, 34, 43, 54, 25, 30, 28, 31, 41, 24, 40, 26, 
55, 3, 54, 52, 22, 6, 15, 16, 7, 56, 4, 53, 35, 51, 5, 20, 21, 14, 23, 18, 33, 19, 9, 37, 27, 2, 31, 30, 13, 50, 17, 12, 8, 10, 49, 36, 1, 46, 0, 11, 38, 29, 48, 32, 39, 42, 43, 25, 34, 45, 28, 44, 47, 41, 24, 40, 26, 
